name,price,Qty,website,date
Afrah,44.04,5 kg,Amazon,2024-05-15
Mahmood 500,47.54,5 kg,Amazon,2024-05-15
Lulu,44.0,5 kg,Amazon,2024-05-15
Afrah,49.22,5 kg,Amazon,2024-05-15
Mehran,62.09,5 kg,Amazon,2024-05-15
Sinnara,38.9,5 kg,Amazon,2024-05-15
Mehran,65.0,5 kg,Amazon,2024-05-15
Natures Choice,24.25,5 kg,Amazon,2024-05-15
Qilla,38.35,5 kg,Amazon,2024-05-15
Mehran,55.95,5 kg,Amazon,2024-05-15
Tilda,79.95,5 kg,Amazon,2024-05-15
Nellara,46.42,5 kg,Amazon,2024-05-15
Mumtaz,32.9,5 kg,Amazon,2024-05-15
"Riam Pure 1121 Creamy Sella Basmati Rice, 5 Kg",52.0,5.0,Dubai Store,2024-05-15
Mahmood 1121 Sella Rice 5kg,60.0,5.0,Dubai Store,2024-05-15
"Mahmood VVIP Sella Mahmood 1121 Basmati Rice, 5 Kg",45.18,5.0,Dubai Store,2024-05-15
MAHMOOD VVIP,69.38,5 kg,Amazon,2024-05-16
Afrah,44.04,5 kg,Amazon,2024-05-16
Mahmood 500,49.37,5 kg,Amazon,2024-05-16
Lulu,44.0,5 kg,Amazon,2024-05-16
Afrah,49.22,5 kg,Amazon,2024-05-16
Mehran,62.09,5 kg,Amazon,2024-05-16
Mehran,65.0,5 kg,Amazon,2024-05-16
Sinnara,38.9,5 kg,Amazon,2024-05-16
Natures Choice,24.25,5 kg,Amazon,2024-05-16
Tilda,79.95,5 kg,Amazon,2024-05-16
Mehran,55.95,5 kg,Amazon,2024-05-16
Nellara,46.42,5 kg,Amazon,2024-05-16
Qilla,,5 kg,Amazon,2024-05-16
Mumtaz,32.9,5 kg,Amazon,2024-05-16
"Riam Pure 1121 Creamy Sella Basmati Rice, 5 Kg",52.0,5.0,Dubai Store,2024-05-16
Mahmood 1121 Sella Rice 5kg,60.0,5.0,Dubai Store,2024-05-16
"Mahmood VVIP Sella Mahmood 1121 Basmati Rice, 5 Kg",45.18,5.0,Dubai Store,2024-05-16
MAHMOOD VVIP,69.38,5 kg,Amazon,2024-05-17
Afrah,44.04,5 kg,Amazon,2024-05-17
Mahmood 500,48.99,5 kg,Amazon,2024-05-17
Lulu,44.0,5 kg,Amazon,2024-05-17
Afrah,49.22,5 kg,Amazon,2024-05-17
Mehran,58.71,5 kg,Amazon,2024-05-17
Mehran,65.0,5 kg,Amazon,2024-05-17
Sinnara,38.9,5 kg,Amazon,2024-05-17
Natures Choice,24.25,5 kg,Amazon,2024-05-17
Mehran,55.95,5 kg,Amazon,2024-05-17
Tilda,79.95,5 kg,Amazon,2024-05-17
Qilla,,5 kg,Amazon,2024-05-17
Mumtaz,32.9,5 kg,Amazon,2024-05-17
"Riam Pure 1121 Creamy Sella Basmati Rice, 5 Kg",52.0,5.0,Dubai Store,2024-05-17
Mahmood 1121 Sella Rice 5kg,60.0,5.0,Dubai Store,2024-05-17
"Mahmood VVIP Sella Mahmood 1121 Basmati Rice, 5 Kg",45.18,5.0,Dubai Store,2024-05-17
MAHMOOD VVIP,69.38,5 kg,Amazon,2024-05-18
Afrah,44.04,5 kg,Amazon,2024-05-18
Mahmood 500,49.24,5 kg,Amazon,2024-05-18
Lulu,44.0,5 kg,Amazon,2024-05-18
Afrah,49.22,5 kg,Amazon,2024-05-18
Mehran,58.71,5 kg,Amazon,2024-05-18
Mehran,65.0,5 kg,Amazon,2024-05-18
Natures Choice,24.25,5 kg,Amazon,2024-05-18
Sinnara,38.9,5 kg,Amazon,2024-05-18
Mehran,55.95,5 kg,Amazon,2024-05-18
Tilda,79.95,5 kg,Amazon,2024-05-18
Qilla,,5 kg,Amazon,2024-05-18
"Riam Pure 1121 Creamy Sella Basmati Rice, 5 Kg",52.0,5.0,Dubai Store,2024-05-18
Mahmood 1121 Sella Rice 5kg,60.0,5.0,Dubai Store,2024-05-18
"Mahmood VVIP Sella Mahmood 1121 Basmati Rice, 5 Kg",45.18,5.0,Dubai Store,2024-05-18
MAHMOOD VVIP,69.38,5 kg,Amazon,2024-05-19
Afrah,44.04,5 kg,Amazon,2024-05-19
Mahmood 500,44.17,5 kg,Amazon,2024-05-19
Lulu,44.0,5 kg,Amazon,2024-05-19
Afrah,49.22,5 kg,Amazon,2024-05-19
Mehran,62.05,5 kg,Amazon,2024-05-19
Mahmood 500,52.76,5 kg,Amazon,2024-05-19
Sinnara,38.9,5 kg,Amazon,2024-05-19
Mehran,65.0,5 kg,Amazon,2024-05-19
AMA,25.95,5 kg,Amazon,2024-05-19
Natures Choice,24.25,5 kg,Amazon,2024-05-19
Mehran,55.95,5 kg,Amazon,2024-05-19
Tilda,79.95,5 kg,Amazon,2024-05-19
Mumtaz,32.9,5 kg,Amazon,2024-05-19
Qilla,,5 kg,Amazon,2024-05-19
Nellara,46.42,5 kg,Amazon,2024-05-19
"Riam Pure 1121 Creamy Sella Basmati Rice, 5 Kg",52.0,5.0,Dubai Store,2024-05-19
"Mahmood VVIP Sella Mahmood 1121 Basmati Rice, 5 Kg",45.18,5.0,Dubai Store,2024-05-19
MAHMOOD VVIP,69.38,5 kg,Amazon,2024-05-20
Afrah,44.04,5 kg,Amazon,2024-05-20
Lulu,44.0,5 kg,Amazon,2024-05-20
Mahmood 500,44.17,5 kg,Amazon,2024-05-20
Afrah,49.22,5 kg,Amazon,2024-05-20
Mehran,62.05,5 kg,Amazon,2024-05-20
Mahmood 500,52.76,5 kg,Amazon,2024-05-20
Natures Choice,24.25,5 kg,Amazon,2024-05-20
Sinnara,38.9,5 kg,Amazon,2024-05-20
Name not found,39.95,5 kg,Amazon,2024-05-20
Mehran,55.95,5 kg,Amazon,2024-05-20
Tilda,79.95,5 kg,Amazon,2024-05-20
Qilla,,5 kg,Amazon,2024-05-20
Mumtaz,32.9,5 kg,Amazon,2024-05-20
Nellara,46.42,5 kg,Amazon,2024-05-20
"Riam Pure 1121 Creamy Sella Basmati Rice, 5 Kg",52.0,5.0,Dubai Store,2024-05-20
"Mahmood VVIP Sella Mahmood 1121 Basmati Rice, 5 Kg",45.18,5.0,Dubai Store,2024-05-20
MAHMOOD VVIP,69.38,5 kg,Amazon,2024-05-21
Afrah,44.04,5 kg,Amazon,2024-05-21
Lulu,44.0,5 kg,Amazon,2024-05-21
Mahmood 500,44.17,5 kg,Amazon,2024-05-21
Afrah,49.22,5 kg,Amazon,2024-05-21
Mehran,62.05,5 kg,Amazon,2024-05-21
Mahmood 500,52.76,5 kg,Amazon,2024-05-21
Sinnara,38.9,5 kg,Amazon,2024-05-21
Name not found,39.95,5 kg,Amazon,2024-05-21
Natures Choice,24.25,5 kg,Amazon,2024-05-21
Mehran,55.95,5 kg,Amazon,2024-05-21
Tilda,79.95,5 kg,Amazon,2024-05-21
"Riam Pure 1121 Creamy Sella Basmati Rice, 5 Kg",52.0,5.0,Dubai Store,2024-05-21
"Mahmood VVIP Sella Mahmood 1121 Basmati Rice, 5 Kg",45.18,5.0,Dubai Store,2024-05-21
